iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6468489972	1	0.084975
1	0.6053518454	1	0.0849
2	0.5632458303	1	0.0849
3	0.5243307653	1	0.0849
4	0.4890449605	1	0.0849
5	0.4577559802	1	0.0849
6	0.4266875541	1	0.0849
7	0.3967827558	1	0.0849
8	0.3703234929	1	0.0849
9	0.3441692815	1	0.0849
10	0.3194071095	1	0.0849
11	0.2965002433	1	0.0849
12	0.2767748935	1	0.0849
13	0.2559237548	1	0.0849
14	0.2379670265	1	0.0849
15	0.2221972616	1	0.0849
16	0.2066855476	1	0.0849
17	0.1918651206	1	0.0849
18	0.1779068443	1	0.0849
19	0.1656355744	1	0.0849
20	0.1538356662	1	0.0849
21	0.1432498424	1	0.0849
22	0.1343443209	1	0.0849
23	0.1253820792	1	0.0849
24	0.116808787	1	0.0849
25	0.1090944176	1	0.0849
26	0.1011670667	1	0.0849
27	0.09363696837	1	0.0849
28	0.08769053603	1	0.0849
29	0.08129354297	1	0.0849
30	0.07634389686	1	0.0849
31	0.0719450877	1	0.0849
32	0.06748602884	1	0.0849
33	0.06276949406	1	0.0849
34	0.05911664666	1	0.0849
35	0.05547819615	1	0.0849
36	0.05173201522	1	0.0849
37	0.04853427707	1	0.0849
38	0.04555117811	1	0.0849
39	0.04281197498	1	0.0849
40	0.04001548709	1	0.0849
41	0.03759788999	1	0.0849
42	0.03537815607	1	0.0849
43	0.03332986752	1	0.0849
44	0.03158414997	1	0.0849
45	0.02958444133	1	0.0849
46	0.02782632619	1	0.0849
47	0.02618731389	1	0.0849
48	0.02475231681	1	0.0849
49	0.02332724962	1	0.0849
50	0.02191913402	1	0.0849
51	0.02057051092	1	0.0849
52	0.01950934107	1	0.0849
53	0.0185077926	1	0.0849
54	0.01755428333	1	0.0849
55	0.01669422204	1	0.0849
56	0.0158729333	1	0.0849
57	0.01506156101	1	0.0849
58	0.0143195186	1	0.0849
59	0.01366121847	1	0.0849
60	0.01306432852	1	0.0849
61	0.01239113103	1	0.0849
62	0.0117083494	1	0.0849
63	0.01112874734	1	0.0849
64	0.01053532037	1	0.0849
65	0.01004335513	1	0.0849
66	0.009554329782	1	0.0849
67	0.009115561338	1	0.0849
68	0.008620618354	1	0.0849
69	0.008233871644	1	0.0849
70	0.007842903736	1	0.0849
71	0.007525076263	1	0.0849
72	0.007188864393	1	0.0849
73	0.006844886258	1	0.0849
74	0.00654589649	1	0.0849
75	0.006207863695	1	0.0849
76	0.005956332838	1	0.0849
77	0.005724134598	1	0.0849
78	0.005508487695	1	0.0849
79	0.005253517826	1	0.0849
80	0.005017102463	1	0.0849
81	0.004826831546	1	0.0849
82	0.004603362085	1	0.0849
83	0.004416528212	1	0.0849
84	0.004245889446	1	0.0849
85	0.00408914747	1	0.0849
86	0.003931662787	1	0.0849
87	0.003749407032	1	0.0849
88	0.003598776199	1	0.0849
89	0.003425533737	1	0.0849
90	0.003281800094	1	0.0849
91	0.003149227131	1	0.0849
92	0.003012023082	1	0.0849
93	0.002900244592	1	0.0849
94	0.002786785159	1	0.0849
95	0.002670192041	1	0.0849
96	0.002572633952	1	0.0849
97	0.002472394739	1	0.0849
98	0.002380894306	1	0.0849
99	0.002286011043	1	0.0849
100	0.00219754094	1	0.0849
101	0.002122729713	1	0.0849
102	0.002037858378	1	0.0849
103	0.001946529164	1	0.0849
104	0.001877864379	1	0.0849
105	0.001825340809	1	0.0849
106	0.001774381192	1	0.0849
107	0.001718053204	1	0.0849
108	0.001649925706	1	0.0849
109	0.001598145495	1	0.0849
110	0.001555963551	1	0.0849
111	0.001497139302	1	0.0849
112	0.001456067173	1	0.0849
113	0.001409600371	1	0.0849
114	0.001355876201	1	0.0849
115	0.001306985201	1	0.0849
116	0.00126684135	1	0.0849
117	0.00122365323	1	0.0849
118	0.001185146363	1	0.0849
119	0.001151880061	1	0.0849
120	0.001129224604	1	0.0849
121	0.001094439367	1	0.0849
122	0.001061730903	1	0.0849
123	0.001030757809	1	0.0849
124	0.001004045358	1	0.0849
125	0.00097643938	1	0.0849
126	0.000940898072	1	0.0849
127	0.0009227539767	1	0.0849
128	0.0008977735935	1	0.0849
129	0.0008799501662	1	0.0849
130	0.0008555186657	1	0.0849
131	0.0008338489623	1	0.0849
132	0.0008164033156	1	0.0849
133	0.0007942671579	1	0.0849
134	0.0007776791448	1	0.0849
135	0.0007610612463	1	0.0849
136	0.0007425807	1	0.0849
137	0.0007201768424	1	0.0849
138	0.0007006438614	1	0.0849
139	0.000680507483	1	0.0849
140	0.0006625570298	1	0.0849
141	0.000647811434	1	0.0849
142	0.0006349277525	1	0.0849
143	0.0006245138494	1	0.0849
144	0.0006110170224	1	0.0849
145	0.0005989003986	1	0.0849
146	0.0005829200833	1	0.0849
147	0.0005714153836	1	0.0849
148	0.0005599308524	1	0.0849
149	0.0005489648313	1	0.0849
150	0.0005401322786	1	0.0849
151	0.0005316508607	1	0.0849
152	0.0005185992516	1	0.0849
153	0.0005079268625	1	0.0849
154	0.0004966520785	1	0.0849
155	0.0004841513567	1	0.0849
156	0.0004746849573	1	0.0849
157	0.0004643209425	1	0.0849
158	0.0004554157352	1	0.0849
159	0.0004464568875	1	0.0849
160	0.0004366409148	1	0.0849
161	0.0004262887814	1	0.0849
162	0.0004166406195	1	0.0849
163	0.0004074451449	1	0.0849
164	0.0003995016223	1	0.0849
165	0.0003926459618	1	0.0849
166	0.0003861741718	1	0.0849
167	0.0003802824163	1	0.0849
168	0.0003744992607	1	0.0849
169	0.000368654387	1	0.0849
170	0.0003604863099	1	0.0849
171	0.0003565085366	1	0.0849
172	0.0003517934857	1	0.0849
173	0.00034502365	1	0.0849
174	0.0003409809944	1	0.0849
175	0.0003331317438	1	0.0849
176	0.000328166469	1	0.0849
177	0.0003234256638	1	0.0849
178	0.0003187131818	1	0.0849
179	0.0003143526403	1	0.0849
180	0.0003090743705	1	0.0849
181	0.0003043889693	1	0.0849
182	0.0003007150223	1	0.0849
183	0.0002964006942	1	0.0849
184	0.0002912097475	1	0.0849
185	0.0002852774519	1	0.0849
186	0.0002805478846	1	0.0849
187	0.0002760087971	1	0.0849
188	0.0002717398648	1	0.0849
189	0.0002688393624	1	0.0849
190	0.0002640269077	1	0.0849
191	0.0002600050993	1	0.0849
192	0.0002581023893	1	0.0849
193	0.0002531866895	1	0.0849
194	0.0002513583198	1	0.0849
195	0.0002481740988	1	0.0849
196	0.0002430861746	1	0.0849
197	0.0002403664811	1	0.0849
198	0.0002364737764	1	0.0849
199	0.0002340458665	1	0.0849
